LISTA OFICIAL DE PRODUTOS DESTA PASTA (Extraída de Itens 2.ods):
📁 Pasta: assets/produtos/2_gatos/racoes_whiskas
📊 Total: 12 produtos (0 com foto, 12 pendentes)
-------------------------------------------------------------------------------
Instrução: Salve a imagem com o CÓDIGO do produto (ex: 217.jpg ou 217.png)
===============================================================================

⏳ [PENDENTE] [CÓD: 217] => Salve como: 217.jpg  =>  SACHE WISKAS GATO FRANGO 85G  |  R$ 3,50
⏳ [PENDENTE] [CÓD: 218] => Salve como: 218.jpg  =>  SACHE WISKAS GATO SALMAO 85G  |  R$ 3,50
⏳ [PENDENTE] [CÓD: 219] => Salve como: 219.jpg  =>  SACHE WISKAS GATO CARNE 85G  |  R$ 3,50
⏳ [PENDENTE] [CÓD: 220] => Salve como: 220.jpg  =>  RACAO WISKAS GATO CASTRADO CARNE 10.1KG  |  R$ 192,90
⏳ [PENDENTE] [CÓD: 672] => Salve como: 672.jpg  =>  SACHE WISKAS GATO ATUM 85G  |  R$ 3,50
⏳ [PENDENTE] [CÓD: 674] => Salve como: 674.jpg  =>  SACHE WISKAS GATO PEIXE 85G  |  R$ 3,50
⏳ [PENDENTE] [CÓD: 676] => Salve como: 676.jpg  =>  RACAO WISKAS GATO ADULTO CARNE 900G  |  R$ 24,00
⏳ [PENDENTE] [CÓD: 677] => Salve como: 677.jpg  =>  RACAO WISKAS GATO ADULTO FRANGO 2.7KG  |  R$ 62,50
⏳ [PENDENTE] [CÓD: 735] => Salve como: 735.jpg  =>  PATE LATA WISKAS CARNE 290G  |  R$ 12,99
⏳ [PENDENTE] [CÓD: 736] => Salve como: 736.jpg  =>  PATE LATA WISKAS ATUM 290G  |  R$ 12,99
⏳ [PENDENTE] [CÓD: 737] => Salve como: 737.jpg  =>  PATE LATA WISKAS FRANGO 290G  |  R$ 12,99
⏳ [PENDENTE] [CÓD: 738] => Salve como: 738.jpg  =>  PATE LATA WISKAS PEIXE 290G  |  R$ 12,99
